"CODIGO","AÑO","DIA","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV"
"2401519","1966","1","3.8","10.9","5.3","9.7","0.8","0","3.9","2.1","5.1","3.9","1.1"
"2401519","1966","2","6.8","8.9","6.9","8.6","7","1.2","1.2","10","9.9","0.1","0.7"
"2401519","1966","3","4.8","7.2","7.4","10.2","1.7","4.3","5.1","8.6","5.5","0","3.3"
"2401519","1966","4","7.1","7.5","9","10.8","5.7","7","9.3","1.4","6.3","4.9","7.8"
"2401519","1966","5","7.8","7","8.5","9.3","4.7","6","1.7","2.3","5.7","9.6","9.6"
"2401519","1966","6","5.9","5.8","6.7","8.9","4.5","7.1","1.5","1.4","1.6","5.2","8.6"
"2401519","1966","7","6.4","5","0","8.7","0","6","5","5.1","4.2","4.6","4.6"
"2401519","1966","8","5.7","8.2","7.3","6.7","5.5","3","3","2","5.4","5.8","2.4"
"2401519","1966","9","2.6","10.7","1.6","4.9","0.5","2.3","2","6","0","0","2.5"
"2401519","1966","10","9.8","9","2.2","4.3","6","4.1","7.1","5","0","3.3","6.4"
"2401519","1966","11","10","7.8","4.6","5.7","4","4.7","0","3.8","3.3","0","4.9"
"2401519","1966","12","3.8","7.7","4.3","6.9","10.7","4.3","2.8","1.9","2.7","6.6","9"
"2401519","1966","13","8.7","9.8","4.9","4.5","9","4.9","2.9","4.3","0.1","6.3","3"
"2401519","1966","14","8.8","10.9","2.3","4.2","8","3.3","2.7","0.9","0.1","6.9","7"
"2401519","1966","15","0.9","0.6","2.3","0","4.9","5","4.3","2.8","0.1","8.9","8.9"
"2401519","1966","16","3.4","7.6","2","0.4","1.3","4.6","3.8","2.6","0.2","4.5","6.4"
"2401519","1966","17","4.5","9.9","4.5","4.1","2.9","4.4","3","6.7","0","2.9","6.5"
"2401519","1966","18","3.8","9.9","7.1","1.3","1.3","0.8","3.5","8.5","0","1.6","6.2"
"2401519","1966","19","2.2","4.9","1.8","5","7.7","3.3","2.9","4.1","1.2","1.9","3.1"
"2401519","1966","20","2.2","3.3","3.9","1.2","8.9","6.1","1.8","5.4","3.7","2.3","6.9"
"2401519","1966","21","2","4.7","6.6","1.2","3.5","4.3","7.9","9.7","5.4","5.8","4.2"
"2401519","1966","22","2.2","2.8","2.1","3.8","3.6","3.9","7.7","0","0.7","4.4","4.5"
"2401519","1966","23","4.1","6","6.5","2.7","4.4","5.5","8.8","2.9","3.3","3.8","2.1"
"2401519","1966","24","9.3","9.9","1.4","6.4","9","6.7","3.5","2.2","1.6","6","6.1"
"2401519","1966","25","9.9","9.5","2.8","3.5","1.2","3.6","4","1.5","3.5","5.2","5.8"
"2401519","1966","26","4.6","6.3","0.8","1.7","2.5","8.8","3.4","6.8","5.1","5.1","5"
"2401519","1966","27","6.3","7.3","2.6","0.2","3.1","0","1.7","7.3","0.7","7.9","4.3"
"2401519","1966","28","10.2","8.8","5.7","5.2","3.4","7.1","1.9","6.3","7.7","9.4","0"
"2401519","1966","29","10.1","0","1.7","2.2","0.7","6.8","3.3","7.1","9.3","5.6","3.5"
"2401519","1966","30","8.5","0","1.5","0.3","0.8","6.9","6.3","5.1","7.4","4.8","5.1"
"2401519","1966","31","10.9","0","4.7","0","6.9","0","2.3","3.3","0","5.4","0"
"2401519","1967","1","5.3","4.8","5.3","0","5.4","0.9","3.3","2.6","9","2.6","6.1"
"2401519","1967","2","8.6","5.7","6.3","1.4","0.5","4","2.6","1.2","2.1","3.2","7"
"2401519","1967","3","8.5","6.5","8.1","4.4","3.1","2.2","4","2.7","5.1","3.5","7.6"
"2401519","1967","4","8.7","1.7","7","6.4","2","0.6","5.1","0.1","3.9","5.2","6.2"
"2401519","1967","5","6.9","3.4","9.4","3.9","5","0","1.1","1.8","6","6.9","6.2"
"2401519","1967","6","6.8","7.7","7.2","5.7","1.9","0","4.6","4.6","2.2","2.8","6.6"
"2401519","1967","7","6.2","6.1","6.6","8","1.8","1.9","2.5","0.6","7.3","2.2","6.3"
"2401519","1967","8","0.5","8.1","6.6","1.4","6.2","0.3","5.4","1.1","1.6","2.8","4.8"
"2401519","1967","9","1.9","7.7","5.2","5.6","5.6","3","3.4","4.3","2.8","4.2","5"
"2401519","1967","10","4.8","9","6.1","5.4","1.4","3.7","5.5","2","3.5","0.9","8"
"2401519","1967","11","6.7","8.4","7.9","3.1","1.2","4.1","8.3","4.2","7.4","4.2","7.2"
"2401519","1967","12","2.5","8.6","1.5","1.2","1","4","1.7","2.9","7.5","3.6","4.8"
"2401519","1967","13","1.2","7.4","6.6","7.1","6.6","1.5","4.7","4.9","9.6","1.5","8.7"
"2401519","1967","14","1.8","8.5","4.6","0","7","2.8","2.4","9.1","7.1","2.5","0"
"2401519","1967","15","0.6","8.3","4","4.7","5.2","1.4","1.7","7.3","1","3.3","0"
"2401519","1967","16","7.7","3.3","0.2","5.1","1.3","2.3","3.7","1.2","0.8","2.3","3.6"
"2401519","1967","17","7.6","9.2","1.1","4.1","2.7","2.8","6","5.3","0.8","3.7","7.3"
"2401519","1967","18","8.4","9.3","7.1","0.6","5.1","3.8","7.6","4.3","6.2","2.2","5.3"
"2401519","1967","19","9.8","4.7","7.8","4.3","4.9","3.4","5.7","3.9","2.1","1.9","4.9"
"2401519","1967","20","9.4","3.3","9.7","1.5","7.1","1.2","5.1","3.6","0.7","0.1","0.3"
"2401519","1967","21","7.9","3","6","7.4","4.9","4","1.4","2","5.9","4.4","2.8"
"2401519","1967","22","9.4","2.6","6.1","4.1","5.4","2.5","4.6","3","4.4","3.4","4.1"
"2401519","1967","23","4.5","2.6","4.4","5.7","3.1","2","0.9","0","5","0.6","5.3"
"2401519","1967","24","2.1","7.7","2.2","5.3","3.6","1.9","1.5","1.7","3.4","5.2","5.7"
"2401519","1967","25","2.2","4.8","3","4.7","1","0.7","3.4","1.4","3.1","1.9","5.2"
"2401519","1967","26","3.2","7","1.7","2.6","0.8","2.8","2.1","0.6","3.7","3.5","5.8"
"2401519","1967","27","3.5","3.3","5.2","0.6","2.2","1.5","0.8","6.3","4.2","5.2","1.1"
"2401519","1967","28","0","3.7","5.8","4.7","1.2","4.4","8.7","5.1","3.5","1","7.9"
"2401519","1967","29","3.8","0","0.1","0.8","3.3","0.7","1","5.5","1.2","1.9","4.1"
"2401519","1967","30","4.4","0","2.9","1.6","2.6","2.4","5.2","0.8","1.3","6.4","0.9"
"2401519","1967","31","3.1","0","6.6","0","4.1","0","2.5","2","0","7.9","0"
"2401519","1968","1","9.2","0","6.8","1","0.1","1.4","1.7","1.4","5.3","2.7","5.5"
"2401519","1968","2","9","0","2.1","0.5","3.5","0","2","0.2","4","0.7","2"
"2401519","1968","3","10.1","0","7.5","5.5","7.6","3.7","4.3","1.2","8.8","4","1.2"
"2401519","1968","4","8.5","0","2.8","5.6","6.2","1.3","6.1","7.7","6.4","7.8","2.3"
"2401519","1968","5","2.2","0","3.8","7.1","2.1","2.8","4.3","3","2.7","7.2","3"
"2401519","1968","6","6","0","3.5","5.6","3.7","3","1.5","5.1","1.1","9","7"
"2401519","1968","7","9.6","0","1.3","1.1","4.4","0","2.6","11","0","2","7.8"
"2401519","1968","8","0.8","0","0.6","0.6","2","6","5.3","2.9","4","0.6","2.7"
"2401519","1968","9","3.7","0","5.4","4.8","6.2","3.1","2.6","10","6.8","5","4.4"
"2401519","1968","10","10.3","2.2","2.8","1.2","4.2","3","0.2","6","5","0.9","7.7"
"2401519","1968","11","9.3","5.7","0","3.1","4.9","3","4.1","2.8","2.7","4.8","5.4"
"2401519","1968","12","7.3","7.2","7.2","1.4","3.3","2","1.1","8.2","3.3","5.4","2.3"
"2401519","1968","13","1.8","10","9.4","1.2","4.3","7.7","1.3","9.2","2.7","6.3","2"
"2401519","1968","14","5.2","7.3","8.7","1.9","5","5.2","1.6","0.9","6.4","5.6","0.6"
"2401519","1968","15","7.4","9","8.8","1.8","4.3","6.2","1.6","3.5","1.9","4.1","1.5"
