"CODIGO","AÑO","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"2401519","1966","187.1","207.9","129","142.6","134.2","136","118.3","137.1","99.8","142.7","149.5","145.2"
"2401519","1967","158","166.4","162.3","111.4","107.2","66.8","116.5","96.1","122.4","101","148.8","173.2"
"2401519","1968","194","134.4","120","112.1","122.6","87.2","95.5","120.9","114.5","131.1","130.8","224.4"
"2401519","1970","158.6","163.6","160.3","110.1","134.5","132.1","123.9","91.9","80.3","107.9","160.2","157.2"
"2401519","1971","158.5","165.2","96.6","140.7","104.4","116.9","102.4","121.5","126.2","138.5","139.4","87.5"
"2401519","1972","116.6","181.9","145.4","124.8","195.5","93.1","119.8","142.4","108.6","167.8","151.1","109.7"
"2401519","1973","221.3","247.6","131.5","125","153.9","101","160.1","131.3","116.1","166.9","136.7","136.6"
"2401519","1974","182.7","148.3","152.9","131.9","129.8","178.2","154.6","155.7","148.9","152.8","186.4","48.4"
"2401519","1975","197.1","139.9","144.3","159","133.1","129.5","151.9","123.3","160.7","157.9","156.4","149.3"
"2401519","1976","219","183.3","130.4","100.7","124.2","82.7","101.9","113.3","128.8","139.4","153.4","142.2"
"2401519","1978","213.7","194","123.8","116.3","128.7","103.9","174.9","107.7","107.7","108.8","140.1","145.1"
"2401519","1980","217.6","186.8","112.5","124","133.3","122.9","142.1","148.4","129.5","143.4","157.4","158.5"
"2401519","1981","256.8","143.3","178.5","97.6","103.4","112.8","131.3","122.7","126.2","125.8","154.7","125.5"
"2401519","1982","187.1","137","155.7","111.3","103.1","100.5","121.1","124.4","86.8","104.7","110.9","127.9"
"2401519","1983","188.3","188.3","188.3","97.4","108.9","107.5","113.9","119","75","109.2","159.5","104.2"
"2401519","1984","199.7","124.7","177.3","147.4","142.8","86.5","127","110.8","95.2","104.8","111.9","119"
"2401519","1985","218","178.2","141.9","108.4","132.3","91.5","119.8","105.9","129.5","108","130.6","194.3"
"2401519","1986","178.6","124.7","130.9","113.4","119.9","82.9","121.7","140.8","119.8","112.9","136","186"
"2401519","1991","217.7","141","131.8","105.6","92.6","92.2","87.7","102.6","110.7","156.8","94.9","163.5"
"2401519","1992","185.6","164.5","178.9","128.2","131.1","109.7","120.2","108.6","137.5","125.9","141.5","171.9"
"2401519","1993","168.4","179.9","137.8","93.8","102.9","79.5","111.9","101.6","109.1","120.5","107.5","151.4"
"2401519","1994","176.7","125.4","108.1","91.6","85.6","116","90.7","92.8","86.2","130.4","107.6","109.3"
"2401519","1995","160.1","115.5","119","110.5","107.3","85.8","93.6","127.1","129.1","125","150.9","111.8"
"2401519","1996","137.9","117.6","139","136.7","116.4","87.1","135.5","141","122.6","132","134.6","69.7"
"2401519","1997","131.1","153.1","177.2","137.5","91.8","124","92.9","128.2","131.6","160.5","107.3","88"
"2401519","1998","164.9","150.7","148","130.9","95","91.4","103.7","133.7","142.5","90.3","90.3","90.3"
"2401519","1999","97.8","89.4","155.3","113.8","136.5","119.5","118.8","134","90.2","65.5","65.5","65.5"
"2401519","2000","65.5","140.7","130.7","111.2","60.3","77.2","100.8","84.3","79","93.6","113.4","97"
"2401519","2001","236.2","129.2","99.5","97.6","69.4","66.6","53.2","110.4","147.9","152.3","122.6","148.6"
"2401519","2002","200.3","203.2","152.4","98.1","107","105.3","105.5","100.8","125.8","153.2","111.8","177"
"2401519","2003","263.6","177.1","150.1","80.1","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2"
"2401519","2004","196.8","210","188","86.2","50.2","100.5","111.2","118.1","142.4","123","137.6","180.5"
"2401519","2005","180.5","174.4","211.5","95.2","103.7","92.7","126.2","113.9","103.6","140.8","149.9","178.4"
"2401519","2006","169.3","189.9","99.4","85.6","90.9","87.1","87.1","92.3","126.2","100.4","119.2","150.9"
"2401519","2007","175","220.4","124.9","114.5","101.9","97.6","142.7","119.6","126.5","123.5","153.5","141.1"
"2401519","2008","161.7","170.3","148.1","121.6","78.3","78.2","80.7","112.5","105.2","109.3","102.3","183.3"
"2401519","2009","130.7","154.3","110.5","121.5","101.8","80.4","90.2","107.7","138.3","143","143.6","217"
"2401519","2010","224.4","180.4","71.8","108.9","111.5","111.5","99.4","121.2","119.3","136.8","95.2","129.5"
"2401519","2011","224.2","125.2","106.7","114.2","81.2","92.2","72.5","153.8","95.9","105.4","100.4","141.3"
"2401519","2012","183.8","194.5","97.9","94.2","74.5","112.3","89.3","128","73.5","141.1","166.1","186.6"
"2401519","2013","228.1","136.7","129","144","98.5","122.3","121.5","134.6","123.2","168.2","135.2","145.4"
"2401519","2014","209.3","151.9","143.5","129","149.3","105.7","141.4","134.7","107.8","104.2","83.4","181.3"
"2401519","2015","211.5","156.3","140.7","144.2","138.3","70.2","126.3","132.1","153.1","143.2","112.4","200"
"2401519","2016","240.2","168.5","180.4","104.5","89.6","105.3","105","132.5","126.5","156","111.5","160.1"
"2401519","2017","152.2","176.4","107","104.5","115.4","115.4","119.1","140.5","128.8","90.2","140.2","147.7"
"2401519","2018","174.7","155.9","154.3","81","101.7","94.6","139.5","128.4","136.6","156.7","144.8","166.1"
"2401519","2019","148.8","184","107.7","118.5","97.7","102.8","126.5","130.1","145.7","135.6","159.6","111.5"
"2401519","2020","184.2","214.9","186.2","109","99","97.8","107.4","157.5","140.9","142.7","115.6","166.1"
"2401519","2021","213.2","139.6","92.7","130.5","115.1","130.5","115.4","121.9","126.1","134.9","167.2","147.4"
"2401519","2022","171","122.5","136.1","103.9","114.5","89.2","131.2","118.1","121.7","111.4","125.3","129.1"
"2401519","2023","151.5","175.3","121.9","83.1","106.7","59.8","59.8","59.8","59.8","59.8","59.8","59.8"
